纬度：4047.641  时间：013316  地磁偏角：100517  经度：11141.730  地面速率：007.1  海拔高度：1140  UTC时间：1时31分16秒卫星：08  确切时间：2017年5月10日
纬度：4047.643  时间：013317  地磁偏角：100517  经度：11141.730  地面速率：007.0  海拔高度：1139  UTC时间：1时31分17秒卫星：08  确切时间：2017年5月10日
纬度：4047.645  时间：013318  地磁偏角：100517  经度：11141.729  地面速率：006.7  海拔高度：1139  UTC时间：1时31分18秒卫星：08  确切时间：2017年5月10日
纬度：4047.646  时间：013319  地磁偏角：100517  经度：11141.728  地面速率：005.6  海拔高度：1138  UTC时间：1时31分19秒卫星：08  确切时间：2017年5月10日
纬度：4047.647  时间：013320  地磁偏角：100517  经度：11141.728  地面速率：003.9  海拔高度：1137  UTC时间：1时32分20秒卫星：08  确切时间：2017年5月10日
纬度：4047.648  时间：013321  地磁偏角：100517  经度：11141.727  地面速率：002.4  海拔高度：1137  UTC时间：1时32分21秒卫星：08  确切时间：2017年5月10日
纬度：4047.648  时间：013322  地磁偏角：100517  经度：11141.727  地面速率：001.4  海拔高度：1136  UTC时间：1时32分22秒卫星：08  确切时间：2017年5月10日
纬度：4047.648  时间：013323  地磁偏角：100517  经度：11141.727  地面速率：000.9  海拔高度：1135  UTC时间：1时32分23秒卫星：09  确切时间：2017年5月10日
纬度：4047.648  时间：013324  地磁偏角：100517  经度：11141.727  地面速率：000.9  海拔高度：1135  UTC时间：1时32分24秒卫星：09  确切时间：2017年5月10日
纬度：4047.617  时间：013325  地磁偏角：100517  经度：11141.721  地面速率：001.1  海拔高度：1132  UTC时间：1时32分25秒卫星：10  确切时间：2017年5月10日
纬度：4047.617  时间：013326  地磁偏角：100517  经度：11141.720  地面速率：001.1  海拔高度：1128  UTC时间：1时32分26秒卫星：09  确切时间：2017年5月10日
纬度：4047.617  时间：013327  地磁偏角：100517  经度：11141.721  地面速率：001.0  海拔高度：1122  UTC时间：1时32分27秒卫星：09  确切时间：2017年5月10日
纬度：4047.618  时间：013328  地磁偏角：100517  经度：11141.722  地面速率：001.3  海拔高度：1119  UTC时间：1时32分28秒卫星：09  确切时间：2017年5月10日
纬度：4047.618  时间：013329  地磁偏角：100517  经度：11141.722  地面速率：001.5  海拔高度：1115  UTC时间：1时32分29秒卫星：09  确切时间：2017年5月10日
纬度：4047.618  时间：013330  地磁偏角：100517  经度：11141.723  地面速率：000.0  海拔高度：1113  UTC时间：1时33分30秒卫星：09  确切时间：2017年5月10日
纬度：4047.617  时间：013331  地磁偏角：100517  经度：11141.726  地面速率：000.0  海拔高度：1101  UTC时间：1时33分31秒卫星：10  确切时间：2017年5月10日
纬度：4047.616  时间：013332  地磁偏角：100517  经度：11141.728  地面速率：000.0  海拔高度：1092  UTC时间：1时33分32秒卫星：10  确切时间：2017年5月10日
纬度：4047.617  时间：013333  地磁偏角：100517  经度：11141.734  地面速率：000.0  海拔高度：1071  UTC时间：1时33分33秒卫星：10  确切时间：2017年5月10日
纬度：4047.617  时间：013334  地磁偏角：100517  经度：11141.736  地面速率：000.0  海拔高度：1063  UTC时间：1时33分34秒卫星：10  确切时间：2017年5月10日
纬度：4047.617  时间：013335  地磁偏角：100517  经度：11141.736  地面速率：000.1  海拔高度：1062  UTC时间：1时33分35秒卫星：10  确切时间：2017年5月10日
纬度：4047.618  时间：013336  地磁偏角：100517  经度：11141.736  地面速率：000.2  海拔高度：1061  UTC时间：1时33分36秒卫星：10  确切时间：2017年5月10日
纬度：4047.618  时间：013337  地磁偏角：100517  经度：11141.736  地面速率：000.3  海拔高度：1060  UTC时间：1时33分37秒卫星：10  确切时间：2017年5月10日
纬度：4047.619  时间：013338  地磁偏角：100517  经度：11141.735  地面速率：000.3  海拔高度：1060  UTC时间：1时33分38秒卫星：10  确切时间：2017年5月10日
纬度：4047.620  时间：013339  地磁偏角：100517  经度：11141.735  地面速率：000.1  海拔高度：1059  UTC时间：1时33分39秒卫星：10  确切时间：2017年5月10日
纬度：4047.620  时间：013340  地磁偏角：100517  经度：11141.735  地面速率：000.0  海拔高度：1058  UTC时间：1时34分40秒卫星：09  确切时间：2017年5月10日
纬度：4047.621  时间：013341  地磁偏角：100517  经度：11141.735  地面速率：000.0  海拔高度：1058  UTC时间：1时34分41秒卫星：09  确切时间：2017年5月10日
纬度：4047.621  时间：013342  地磁偏角：100517  经度：11141.735  地面速率：000.0  海拔高度：1058  UTC时间：1时34分42秒卫星：09  确切时间：2017年5月10日
